frame,x_px,y_px,x_m,y_m,tiempo,vx,vy
81.0,435.0,20.0,0.6408367707719506,1.5615792575132588,0.0,0.0,0.0
82.0,435.0,20.0,0.6408367707719506,1.5615792575132588,0.03333333333333333,0.8839127872716551,-0.2872716558632893
83.0,475.0,33.0,0.6997642899233942,1.5424278137890395,0.06666666666666667,3.071596935769005,-1.4805539186800243
84.0,574.0,87.0,0.8456098998232175,1.4628756629345905,0.1,2.18768414849735,-1.193282262816735
85.0,574.0,87.0,0.8456098998232175,1.4628756629345905,0.13333333333333333,1.1048909840895693,-0.8397171479080723
86.0,624.0,125.0,0.9192692987625222,1.406894519740719,0.16666666666666666,3.2704773129051268,-3.027401296405422
87.0,722.0,224.0,1.0636417206835593,1.2610489098408957,0.2,2.1434885091337654,-2.18768414849735
88.0,721.0,224.0,1.0621685327047732,1.2610489098408957,0.23333333333333334,1.0606953447259881,-1.3700648202710664
89.0,770.0,286.0,1.1343547436652919,1.169711255156158,0.26666666666666666,3.226281673541546,-4.6847377725397745
90.0,867.0,436.0,1.277253977607543,0.9487330583382441,0.3,2.1434885091337654,-3.3367707719505004
91.0,867.0,437.0,1.277253977607543,0.9472598703594579,0.3333333333333333,1.082793164407777,-1.988803771361226
92.0,916.0,526.0,1.3494401885680614,0.8161461402474957,0.36666666666666664,3.314672952268708,-6.5409546258102536
93.0,1017.0,733.0,1.4982321744254568,0.5111962286387743,0.4,2.231879787860931,-4.552150854449029
94.0,1017.0,732.0,1.4982321744254568,0.5126694166175604,0.43333333333333335,1.0827931644077804,-2.6517383618149677
95.0,1066.0,853.0,1.5704183853859754,0.33441367118444315,0.4666666666666667,3.800824985268121,-6.695639363582793
98.0,1189.0,1035.0,1.7516205067766648,0.06629345904537419,0.5,3.6019446081319972,-0.4861520329994104
99.0,1229.0,875.0,1.8105480259281086,0.3020035356511491,0.5333333333333333,0.8618149675898645,3.5135533294048322
100.0,1228.0,876.0,1.8090748379493224,0.30053034767236303,0.5666666666666667,0.4640542133176173,1.347967000589275
101.0,1250.0,814.0,1.8414849734826164,0.3918680023571008,0.6,1.3258691809074852,3.3146729522687086
102.0,1288.0,726.0,1.8974661166764881,0.521508544490277,0.6333333333333333,0.8397171479080756,1.9446081319976425
103.0,1288.0,726.0,1.8974661166764881,0.521508544490277,0.6666666666666666,0.37566293459045164,0.6629345904537426
104.0,1305.0,696.0,1.9225103123158516,0.5657041838538598,0.7,1.1490866234531505,1.4805539186800243
105.0,1340.0,659.0,1.9740718915733648,0.6202121390689452,0.7333333333333333,0.7734236888626989,0.7955215085444911
106.0,1340.0,660.0,1.9740718915733648,0.6187389510901592,0.7666666666666667,0.37566293459045497,0.17678255745433136
107.0,1357.0,651.0,1.9991160872127285,0.631997642899234,0.8,1.281673541543904,0.0
108.0,1398.0,660.0,2.0595167943429584,0.6187389510901592,0.8333333333333334,0.8839127872716568,-0.19888037713612194
109.0,1397.0,660.0,2.0580436063641723,0.6187389510901592,0.8666666666666667,0.44195639363582506,-0.39776075427224555
110.0,1418.0,678.0,2.08898055391868,0.5922215674720095,0.9,1.347967000589274,-1.834119033588687
111.0,1458.0,743.0,2.147908073070124,0.4964643488509134,0.9333333333333333,0.8618149675898645,-1.4363582793164416
112.0,1457.0,743.0,2.1464348850913377,0.4964643488509134,0.9666666666666667,0.33146729522687046,-0.9502062463170302
113.0,1473.0,786.0,2.1700058927519152,0.4331172657631114,1.0,0.7071302298173254,-1.9004124926340604
