frame,x_px,y_px,x_m,y_m,tiempo,vx,vy
81.0,435.0,20.0,8.7,21.2,0.0,8.9040883653038,-3.6008365099197093
82.0,435.0,20.0,8.7,21.2,0.03333333333333333,16.4947243280949,-7.3302112576689105
83.0,475.0,33.0,9.5,20.94,0.06666666666666667,27.73508202695041,-13.683490987049556
84.0,574.0,87.0,11.48,19.86,0.1,28.744395929270468,-16.648701015416147
85.0,574.0,87.0,11.48,19.86,0.13333333333333333,27.85967091300842,-21.20990604651002
86.0,624.0,125.0,12.48,19.1,0.16666666666666666,31.14946411930423,-28.598025525590156
87.0,722.0,224.0,14.44,17.12,0.2,29.279995765694107,-30.622513814179282
88.0,721.0,224.0,14.42,17.12,0.23333333333333334,27.49447565028939,-34.84535352072686
89.0,770.0,286.0,15.4,15.88,0.26666666666666666,30.76656418101189,-44.481572179422415
90.0,867.0,436.0,17.34,12.88,0.3,29.242819468108028,-46.20923290269359
91.0,867.0,437.0,17.34,12.86,0.3333333333333333,27.935062969112252,-50.24845153150337
92.0,916.0,526.0,18.32,11.08,0.36666666666666664,31.637253633687372,-61.99081826446598
93.0,1017.0,733.0,20.34,6.94,0.4,30.466406981210028,-61.450438272062684
94.0,1017.0,732.0,20.34,6.96,0.43333333333333335,30.873436014494633,-56.37363209584762
95.0,1066.0,853.0,21.32,4.54,0.4666666666666667,38.474225076736595,-47.643257139041545
98.0,1189.0,1035.0,23.78,0.9,0.5,36.180548800886534,-14.124642611654359
99.0,1229.0,875.0,24.58,4.1,0.5333333333333333,21.90265405258593,19.332864525325803
100.0,1228.0,876.0,24.56,4.08,0.5666666666666667,13.210902398194513,30.435345450901483
101.0,1250.0,814.0,25.0,5.32,0.6,12.665093933480058,31.87898696546716
102.0,1288.0,726.0,25.76,7.08,0.6333333333333333,11.42551581753434,25.930526765560927
103.0,1288.0,726.0,25.76,7.08,0.6666666666666666,10.161005551579017,17.952991613640886
104.0,1305.0,696.0,26.1,7.68,0.7,11.048463278419316,14.56626435841995
105.0,1340.0,659.0,26.8,8.42,0.7333333333333333,10.519433217195964,10.349201956235229
106.0,1340.0,660.0,26.8,8.4,0.7666666666666667,10.328938577880091,4.526357004435209
107.0,1357.0,651.0,27.14,8.58,0.8,12.122670153378134,0.19628249704021883
108.0,1398.0,660.0,27.96,8.4,0.8333333333333334,11.813923165801548,-3.6361871563700277
109.0,1397.0,660.0,27.94,8.4,0.8666666666666667,11.34113090758305,-9.932349210670885
110.0,1418.0,678.0,28.36,8.04,0.9,12.572841156932135,-16.856166377920957
111.0,1458.0,743.0,29.16,6.74,0.9333333333333333,10.801327547302204,-17.867024526480446
112.0,1457.0,743.0,29.14,6.74,0.9666666666666667,6.523342627233326,-13.598651806372205
113.0,1473.0,786.0,29.46,5.88,1.0,4.5173550133017315,-11.048069102476976
